Date,Algorithm,Duration,IterCount,Solution
2018-4-20,DSJC250.5.col,2.002,1011115,(28) 2 23 2 0 1 21 21 14 8 12 3 5 20 22 22 10 6 4 20 18 1 15 15 15 19 12 15 11 18 16 15 21 27 6 1 10 2 27 13 20 25 25 8 6 10 4 6 17 18 17 9 18 26 22 6 19 14 3 11 11 24 18 13 14 25 20 4 6 21 25 12 23 10 23 21 5 5 23 21 26 8 22 22 10 19 22 3 20 2 11 10 19 13 4 27 19 26 17 24 26 0 12 12 2 26 2 27 19 20 11 0 7 26 7 15 13 0 18 8 8 6 1 23 24 20 16 16 26 9 13 21 23 11 7 7 4 24 11 4 5 18 26 24 13 12 0 15 6 22 3 16 19 5 16 10 6 7 16 23 5 3 18 1 0 3 26 3 2 17 12 4 9 7 9 15 18 22 17 7 11 1 24 8 23 3 20 24 13 0 15 25 7 25 6 3 22 9 24 27 12 14 9 5 14 27 4 9 11 20 26 13 12 0 17 24 21 16 14 8 22 11 17 14 10 13 5 2 8 21 16 19 13 26 19 8 27 24 14 4 23 3 16 12 25 17 26 14 25 4 21
2018-4-20,DSJC250.5.col,4.42,2098610,(28) 15 2 19 14 9 17 26 27 25 12 13 26 4 16 21 17 6 5 22 21 23 11 0 14 10 12 19 11 24 18 18 17 1 15 21 16 6 13 5 0 7 23 0 4 21 10 4 4 1 11 3 11 20 16 4 2 0 11 15 11 17 21 8 1 0 24 9 5 25 1 12 2 26 21 17 18 23 24 19 20 16 16 26 4 11 16 18 21 22 1 4 18 25 23 13 6 20 8 8 20 5 12 12 22 20 8 13 10 11 21 9 6 20 9 19 3 14 26 27 26 15 10 21 7 27 6 18 20 17 5 25 24 19 10 10 1 11 3 7 25 26 20 5 8 12 13 19 27 6 5 25 27 6 2 21 4 9 27 24 1 1 27 10 25 24 20 19 15 24 12 1 14 23 1 25 14 21 22 7 13 25 3 3 22 13 6 16 18 15 24 8 7 18 8 7 16 27 8 26 12 9 14 13 0 4 23 19 23 22 20 2 12 5 11 14 17 2 9 27 16 11 14 9 22 25 15 0 19 17 14 7 5 20 7 13 6 7 9 3 24 26 2 12 8 10 20 2 8 7 17 
2018-4-20,DSJC250.5.col,9.76,4723535,(28) 23 9 4 1 17 5 11 20 1 24 11 12 14 21 21 5 8 19 20 20 27 15 10 1 18 24 8 2 22 25 10 5 0 0 17 26 5 14 19 2 7 14 2 10 15 12 10 12 17 15 22 20 16 21 10 11 25 23 27 15 0 20 7 18 14 9 3 19 6 0 24 13 8 0 5 3 18 14 4 16 23 21 21 23 9 21 17 25 13 18 9 3 19 18 25 8 16 27 7 16 19 24 24 23 16 7 25 15 11 15 23 22 16 21 4 9 1 22 13 9 6 27 6 14 20 0 10 16 5 19 26 22 4 12 2 0 15 14 15 26 12 16 19 7 24 25 4 27 21 19 13 13 22 0 9 8 2 6 8 18 26 20 13 26 22 16 4 20 15 24 0 1 2 6 27 1 21 8 3 26 3 27 9 8 26 9 15 9 1 10 7 17 25 7 26 21 12 7 25 24 18 22 18 15 10 9 4 2 12 16 11 24 19 23 1 5 25 3 13 26 20 1 2 13 27 6 4 4 5 1 0 19 16 11 5 6 3 3 11 22 10 18 24 7 12 16 25 7 20 26 
2018-4-20,DSJC250.5.col,2.025,904824,(28) 7 12 16 20 2 20 21 10 10 14 8 11 5 4 4 7 16 22 26 15 20 9 13 18 5 14 18 24 15 1 12 21 20 12 3 11 7 18 17 13 19 8 16 12 13 11 26 11 15 24 9 15 0 4 20 9 16 21 18 1 27 15 19 6 16 26 24 22 21 3 14 18 25 26 21 25 6 12 21 0 16 4 4 12 23 4 8 24 10 6 20 25 17 6 18 5 0 24 19 0 17 14 14 16 0 19 13 27 11 27 2 1 0 2 18 23 2 15 10 23 3 13 3 22 10 17 13 0 20 17 21 26 18 11 22 24 27 13 27 20 12 0 17 19 14 2 5 10 4 17 1 10 5 1 23 25 5 10 9 6 9 15 2 25 8 0 3 7 27 14 24 9 2 3 18 6 4 24 25 26 3 25 23 13 8 23 27 23 12 9 19 11 1 19 8 4 22 19 1 14 6 1 6 27 20 23 22 9 8 0 17 14 17 7 5 21 1 26 10 4 26 22 2 26 5 23 16 16 21 3 20 17 0 7 7 23 5 25 25 8 8 6 14 19 27 0 1 19 11 21
2018-4-20,DSJC250.5.col,2.401,1178126,(28) 18 5 19 4 3 8 21 9 25 10 26 2 20 11 1 18 5 3 0 1 24 14 14 0 16 10 9 6 18 24 14 9 24 6 1 4 22 25 12 0 19 20 17 14 1 17 22 4 3 21 8 21 13 11 14 8 12 7 2 24 6 1 27 6 17 20 2 12 2 6 10 22 18 1 18 24 22 20 3 13 7 11 26 4 27 11 7 1 9 0 4 26 26 7 15 27 13 4 27 13 12 10 10 17 13 15 18 27 2 1 2 22 13 15 5 9 16 7 22 4 5 27 1 19 21 6 23 13 8 12 22 22 15 22 16 6 0 15 19 26 3 13 12 20 10 24 0 3 11 12 25 17 22 24 1 5 16 9 8 25 4 21 16 4 7 13 2 26 4 10 6 23 16 15 15 7 1 5 19 26 18 8 2 27 25 23 11 20 5 14 21 19 14 26 26 11 9 17 24 10 0 2 26 23 14 2 8 23 21 13 12 10 12 25 8 21 9 23 9 11 7 3 23 25 20 3 8 19 3 5 6 12 13 19 19 27 21 18 8 7 14 25 10 17 23 13 23 20 19 23 
2018-4-20,DSJC250.9.col,0.020,85715,(72) 65 67 61 37 20 65 61 20 7 45 25 68 40 52 38 29 39 24 40 36 0 46 47 21 31 23 15 42 33 18 6 20 35 17 55 50 56 29 65 67 14 24 5 55 39 11 46 62 15 39 37 30 66 38 18 17 23 54 59 3 66 60 63 53 33 2 71 57 49 30 16 51 9 1 67 40 35 58 60 57 19 3 35 44 57 69 63 68 31 50 8 49 9 59 34 23 53 52 11 8 71 48 25 24 13 26 14 42 5 51 43 53 55 70 44 19 32 22 51 64 37 58 10 47 71 49 56 10 7 4 52 58 15 19 4 30 27 4 18 33 38 27 48 44 5 1 14 67 54 69 28 4 7 44 45 12 59 28 0 26 69 40 68 1 46 10 22 47 34 33 12 56 34 8 24 0 70 59 68 62 43 28 2 26 9 28 60 48 37 6 41 51 64 63 35 19 6 71 29 62 42 25 27 21 41 12 47 21 49 12 22 31 3 70 23 16 62 45 17 32 43 53 50 2 32 26 13 25 70 43 65 41 39 55 36 17 63 22 54 66 36 64 48 32 50 11 37 61 13 41 
2018-4-20,DSJC250.9.col,0.479,186250,(72) 64 54 71 21 44 64 19 28 50 70 16 22 46 5 70 51 71 26 46 17 56 17 3 66 53 42 20 67 9 17 41 55 35 6 13 49 4 59 2 54 24 26 48 41 23 70 68 43 30 7 21 60 65 50 58 6 42 44 31 27 65 40 8 62 9 39 69 15 36 2 52 18 48 40 54 46 28 45 32 15 61 48 1 68 15 25 50 22 53 49 47 36 53 31 19 42 62 5 33 47 69 38 16 26 33 13 23 67 19 18 8 62 13 52 29 61 12 33 18 30 21 39 11 3 69 36 4 63 35 70 5 11 20 61 52 28 24 60 56 9 55 24 38 27 51 0 32 54 63 25 56 67 45 12 45 34 31 35 68 10 25 46 22 40 32 0 14 3 55 9 23 4 7 47 26 0 59 31 22 43 8 51 1 7 10 10 1 38 21 58 57 18 30 34 39 61 29 69 59 43 67 16 12 66 57 34 3 66 36 34 14 29 20 37 42 44 43 35 6 51 8 62 49 27 41 1 2 16 37 58 64 57 50 13 14 6 41 14 63 65 60 37 38 19 49 33 21 71 2 57 
2018-4-20,DSJC250.9.col,0.124,44838,(72) 67 45 3 4 70 67 57 54 12 48 13 40 1 11 48 49 42 68 1 3 22 25 9 5 7 27 36 35 3 3 39 15 30 69 64 43 46 49 67 45 31 68 37 64 20 48 42 71 54 44 4 65 21 12 34 51 27 63 22 30 21 50 44 29 61 11 61 53 33 70 52 47 41 26 45 1 30 36 23 53 8 32 17 14 53 58 12 40 7 43 36 33 41 8 59 27 29 69 2 38 58 18 13 68 2 31 20 35 37 47 19 29 64 28 14 8 60 2 47 16 4 25 6 9 22 33 46 6 66 48 62 57 51 39 44 25 56 65 62 61 31 56 18 14 37 26 23 45 63 52 24 35 69 14 66 10 42 24 19 5 32 1 40 26 23 6 0 9 59 61 20 46 59 36 68 19 28 5 40 71 31 24 17 11 41 24 17 18 4 34 55 47 16 10 15 8 39 58 49 39 35 13 56 15 55 10 9 50 33 10 0 7 51 28 27 70 71 66 52 60 50 29 43 54 60 17 32 13 28 34 67 55 12 64 0 38 63 0 38 21 65 16 18 60 43 2 4 57 62 55 
2018-4-20,DSJC250.9.col,0.399,180024,(72) 69 23 47 38 20 69 67 5 14 55 50 15 9 33 55 2 64 18 9 34 51 27 57 22 45 12 16 42 19 53 0 5 62 1 41 26 7 65 69 21 46 18 64 0 10 55 27 66 44 64 38 7 52 14 25 1 4 20 29 49 52 28 63 54 19 37 54 13 62 59 32 60 56 39 31 9 28 59 30 46 58 54 11 40 6 36 14 15 70 26 17 13 56 33 67 12 44 47 43 17 70 8 50 18 43 41 10 42 67 60 63 49 41 32 40 58 31 43 60 62 38 37 49 57 29 62 34 35 48 55 71 59 16 58 6 25 24 68 51 19 31 12 8 40 2 71 30 13 35 36 51 42 48 40 48 3 64 20 70 22 36 9 15 7 30 68 33 57 4 19 10 71 4 17 18 45 53 22 15 66 63 2 11 68 56 21 11 8 38 29 61 60 32 3 37 58 6 21 45 66 42 50 28 5 61 3 57 23 25 3 44 65 16 39 12 20 66 24 1 2 63 53 26 44 0 11 27 50 65 23 69 61 14 41 46 1 0 24 35 52 34 39 8 67 26 43 38 47 23 61 
2018-4-20,DSJC250.9.col,0.126,48931,(72) 12 20 25 17 69 12 34 2 6 14 4 49 41 10 0 54 19 40 41 44 64 66 22 26 42 13 29 37 30 56 28 71 8 16 51 33 60 43 12 20 4 40 39 51 19 0 66 13 27 19 17 60 24 62 56 16 9 21 35 45 24 11 61 57 30 15 23 36 38 69 45 36 63 31 20 41 8 71 13 2 27 47 8 55 59 65 61 49 42 33 50 36 63 35 34 53 0 25 10 50 23 32 58 40 13 1 59 37 34 61 3 57 51 57 55 59 11 10 29 38 17 29 67 22 23 36 44 5 31 7 52 53 47 26 7 21 65 7 56 30 62 38 32 55 54 52 39 20 5 18 48 37 71 55 14 68 35 48 64 1 18 41 49 60 66 67 6 22 9 30 45 52 9 50 40 64 43 35 49 53 3 48 15 1 63 48 67 32 17 39 70 46 27 68 8 2 28 23 43 28 37 58 11 5 70 68 22 26 21 68 6 42 28 4 38 69 62 14 46 54 3 57 33 15 4 1 47 58 27 3 12 70 19 51 6 16 61 65 46 24 44 31 32 34 33 18 17 25 46 70 
